,Export,Import,Year,Export_Value,Export_Value_(t-1),GDP_i(t-1),GDP_j(t-1),GDPPC_i(t-1),GDPPC_j(t-1),D_ij,FTA_1,FTA_2
35,Turkey,Germany,2003,7484930.597,5835206.833,240253216295.117,2068624129493.69,3687.95609325031,25077.7290759602,2332.79,0,1
36,Turkey,Iceland,2003,9789.771,2645.519,240253216295.117,9318395054.85934,3687.95609325031,32409.2161491753,4433.0,1,0
37,Turkey,Italy,2003,3194796.6,2361212.142,240253216295.117,1270712309429.7,3687.95609325031,22270.1441234282,1911.13,0,1
38,Turkey,Netherlands,2003,1525929.493,1043865.599,240253216295.117,471613965744.401,3687.95609325031,29204.0398310254,2690.54,0,1
39,Turkey,Norway,2003,171419.646,114447.158,240253216295.117,195524186477.617,3687.95609325031,43084.4724650717,2989.43,1,0
40,Turkey,Spain,2003,1792155.359,1115225.98,240253216295.117,705394315829.098,3687.95609325031,17025.5319828692,3401.22,0,1
41,Turkey,Switzerland,2003,356876.697,288754.866,240253216295.117,310175772488.13,3687.95609325031,42578.7631355696,2328.95,1,0
42,Turkey,United Kingdom,2003,3670092.528,3005840.148,240253216295.117,1784076738609.11,3687.95609325031,30049.8963232066,3332.78,0,1
43,Turkey,United States,2003,3753865.295,3336809.681,240253216295.117,10936419054000.0,3687.95609325031,38023.1611144021,10153.51,0,1
44,Turkey,China,2004,391585.394,504625.797,314592428076.487,1660287965663.89,4760.1040190451,1288.64325183475,6083.43,0,1
45,Turkey,France,2004,3668417.719,2826140.554,314592428076.487,1840480812641.08,4760.1040190451,29568.3887998673,2803.41,0,1
46,Turkey,Germany,2004,8745282.461,7484930.597,314592428076.487,2496128668171.56,4760.1040190451,30243.5765296979,2332.79,0,1
47,Turkey,Iceland,2004,9812.496,9789.771,314592428076.487,11429333037.8443,4760.1040190451,39476.6978486684,4433.0,1,0
